habitaciones;banos;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;ascensor;circuito_cerrado_tv;parqueadero_visitantes;porteria-recepcion;zonas_verdes;salon_comunal;balcon;barra_estilo_americano;calentador;chimenea;citofono;cocina_integral;terraza;vigilancia;parques_cercanos;estudio;patio;bodega;nombre;ubicacion;precio
3;4;2;175;175;4;No definida;16 a 30 anos;0;†4285714,29;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;Casa;Cedro Golf;750000000
3;2;1;76;70;4;Bueno;9 a 15 anos;†241000;†4736842,11;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Casa;Versalles;360000000
3;2;1;78,5;0;4;Excelente;9 a 15 anos;†303000;†4585987,26;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;Apartamento;Hayuelos;360000000
3;2;1;65;0;3;No definida;No definida;†289000;†5384615,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Eduardo frey;350000000
3;3;3;250;240;6;Remodelado;mas de 30 anos;†1700000;†7000000;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;Apartamento;Los Rosales;1750000000
6;3;0;152;228;2;No definida;9 a 15 anos;0;†2302631,58;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;Casa;Salazar usme;350000000
1;2;1;59;59;6;No definida;1 a 8 anos;†512000;†8813559,32;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;SANTA BARBARA CENTRAL;520000000
4;3;1;109;0;3;Bueno;16 a 30 anos;†160000;†3348623,85;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;El Cortijo;365000000
3;3;1;127;0;4;Excelente;9 a 15 anos;†299000;†3779527,56;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;Casa;Suba la Campina;480000000
3;3;2;113;0;5;Excelente;9 a 15 anos;†787000;†5743362,83;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;Apartamento;Bella suiza;649000000
1;4;0;80;0;2;No definida;16 a 30 anos;0;†4875000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa Atalayas;390000000
4;6;4;556,98;530;6;Excelente;16 a 30 anos;†3300000;†12567776,22;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa Barbara Alta;7000000000
3;3;1;88;81;4;Bueno;1 a 8 anos;†406000;†5852272,73;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;Apartamento;Barrancas;515000000
1;2;2;95;0;6;Excelente;1 a 8 anos;†820000;†9000000;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;Apartamento;El Refugio;855000000
4;4;3;243;200;3;Bueno;16 a 30 anos;0;†2469135,8;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;Casa;Marsella;600000000
3;2;3;130;0;4;Excelente;menor a 1 ano;†400000;†6769230,77;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Quinta Paredes;880000000
4;3;2;140;140;6;Excelente;1 a 8 anos;†1500000;†6785714,29;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;San Patricio;950000000
3;4;3;311;311;4;Bueno;9 a 15 anos;†890000;†5003215,43;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;Casa;Cerros de Suba;1556000000
4;4;2;143;0;3;Excelente;16 a 30 anos;0;†4545454,55;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;Casa;Santa Mar√≠a del Lago;650000000
3;5;4;420;420;6;Excelente;16 a 30 anos;†1050000;†3690476,19;0;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;Apartamento;La Carolina;1550000000
